title,script_available,estimated_word_count,dialogue_percentage,action_description_percentage,unique_character_count,avg_dialogue_length,longest_monologue_words,scene_count,avg_scene_length_words,sentiment_mean,sentiment_std,emotional_arc_type,exclamation_ratio,question_ratio,profanity_score,vocabulary_richness,avg_sentence_complexity,named_entity_density,humor_indicator,romance_indicator,violence_indicator,script_genre_primary,script_genre_secondary
Wonder Woman 1984,True,12162,38.0,62.0,29,9.4,117,76,160.0,0.088,0.264,steady,0.133,0.127,5,0.346,9.46,6.41,3.4,2.5,6.9,Action,
Batman v Superman: Dawn of Justice,True,14086,45.9,54.1,25,10.4,201,66,213.4,-0.195,0.306,steady,0.232,0.216,4,0.473,10.73,9.97,4.3,4.5,9.7,Action,
Superman Returns,True,15364,41.0,59.0,30,9.8,154,43,357.3,0.31,0.166,rise,0.19,0.113,3,0.316,9.16,14.95,3.4,5.0,9.0,Action,
Man of Steel,True,14014,58.2,41.8,29,10.1,158,60,233.6,0.278,0.213,steady,0.225,0.173,4,0.272,8.72,12.18,3.4,1.0,8.1,Action,
The Dark Knight,True,14100,55.9,44.1,23,11.5,285,74,190.0,0.05,0.38,fall-rise,0.18,0.25,2,0.52,11.8,6.8,2.6,1.0,8.5,Action,Thriller
The Dark Knight Rises,False,13464,40.5,59.5,30,10.6,191,53,254.0,-0.16,0.3,fall,0.18,0.05,2,0.29,8.9,11.22,4.0,2.9,8.0,Action,
Batman Begins,True,15527,54.4,45.6,18,7.8,140,75,207.0,-0.05,0.251,steady,0.133,0.219,4,0.25,8.5,9.28,4.5,8.3,8.0,Action,
Justice League,True,15082,40.2,59.8,27,11.2,207,71,212.4,0.227,0.227,steady,0.146,0.251,5,0.374,9.74,7.07,4.7,2.9,7.7,Action,
Aquaman and the Lost Kingdom,True,14286,25.0,75.0,30,10.8,186,48,297.6,0.128,0.24,steady,0.203,0.208,5,0.376,9.76,5.0,5.8,2.8,9.3,Action,
Shazam! Fury of the Gods,True,11542,35.2,64.8,20,7.8,134,77,149.9,0.149,0.142,steady,0.136,0.276,4,0.363,9.63,13.17,2.8,1.5,7.1,Action,
The Flash,False,12424,49.8,50.2,22,7.6,124,60,207.1,0.158,0.313,rise,0.206,0.154,4,0.34,9.4,8.62,7.8,9.8,7.5,Action,
Eternals,True,16122,32.8,67.2,26,9.2,162,79,204.1,0.069,0.367,fall-rise,0.164,0.164,4,0.386,9.86,5.52,5.6,3.8,6.2,Action,
Shang-Chi and the Legend of the Ten Rings,True,14827,48.4,51.6,30,10.7,169,40,370.7,0.102,0.248,steady,0.185,0.219,4,0.271,8.71,13.43,7.3,7.1,8.0,Action,
Black Panther: Wakanda Forever,True,14051,42.5,57.5,25,8.3,131,75,187.4,0.035,0.326,steady,0.207,0.061,4,0.594,11.94,13.16,8.7,6.5,8.0,Action,
The Mummy,True,15727,35.3,64.7,28,8.5,169,78,201.6,0.208,0.301,steady,0.16,0.147,5,0.341,9.41,7.78,2.7,4.7,7.8,Action,
The Mummy Returns,True,13559,45.4,54.6,18,7.8,118,80,169.5,0.235,0.132,steady,0.152,0.194,5,0.356,9.56,10.17,3.5,2.2,8.2,Action,
The Mummy: Tomb of the Dragon Emperor,True,12028,50.0,50.0,24,9.8,172,59,203.9,0.066,0.444,fall-rise,0.196,0.275,3,0.529,11.29,11.1,5.9,6.5,7.9,Action,
Jurassic Park,True,13113,48.6,51.4,23,12.1,184,70,187.3,0.042,0.254,steady,0.08,0.171,2,0.25,8.5,13.4,5.6,5.2,5.8,Action,
Jurassic Park III,False,14069,33.4,66.6,29,10.0,178,70,201.0,0.067,0.405,fall-rise,0.223,0.103,4,0.349,9.49,11.54,5.4,5.6,8.4,Action,
The Lost World: Jurassic Park,True,13056,41.3,58.7,19,12.2,204,52,251.1,-0.09,0.258,steady,0.225,0.05,4,0.341,9.41,12.87,6.4,3.9,9.0,Action,
Jurassic World: Fallen Kingdom,True,12791,25.2,74.8,30,13.8,260,81,157.9,0.044,0.364,fall-rise,0.224,0.339,2,0.367,9.67,14.36,7.9,2.1,9.6,Action,
Jurassic World Dominion,False,12803,36.5,63.5,21,12.4,197,64,200.0,0.297,0.179,steady,0.145,0.183,4,0.429,10.29,12.87,4.9,1.5,5.5,Action,
Godzilla,False,13123,50.6,49.4,21,7.5,116,50,262.5,0.133,0.258,steady,0.147,0.189,5,0.437,10.37,7.16,7.5,4.3,6.5,Action,
Godzilla: King of the Monsters,True,10961,47.7,52.3,18,9.0,147,53,206.8,0.082,0.313,steady,0.222,0.194,3,0.459,10.59,12.48,3.4,4.4,9.0,Action,
Godzilla vs. Kong,True,11721,31.0,69.0,31,5.2,68,71,165.1,0.342,0.258,steady,0.181,0.27,2,0.389,9.89,6.18,6.1,8.6,7.7,Action,
Godzilla x Kong: The New Empire,True,12032,33.0,67.0,23,13.3,239,74,162.6,0.199,0.399,rise-fall,0.194,0.05,4,0.319,9.19,13.71,3.2,4.0,9.5,Action,
King Kong,True,11834,31.9,68.1,30,9.4,128,80,147.9,0.045,0.283,steady,0.144,0.156,2,0.367,9.67,12.93,5.5,3.9,8.5,Action,
Rampage,True,16135,68.2,31.8,29,10.5,171,74,218.0,0.138,0.276,steady,0.224,0.268,2,0.271,8.71,9.51,7.0,2.4,8.5,Action,
Dune,True,16974,39.2,60.8,37,9.3,184,72,235.8,-0.004,0.264,steady,0.08,0.156,4,0.434,10.34,17.97,4.1,7.4,2.7,Sci-Fi,
Dune: Part Two,False,11991,36.1,63.9,25,9.0,133,67,179.0,0.178,0.305,rise,0.238,0.201,2,0.371,9.71,8.66,2.1,7.8,10.0,Sci-Fi,
Inception,True,16100,63.4,36.6,38,11.8,220,82,196.0,0.15,0.32,rise,0.15,0.28,4,0.48,12.2,8.5,6.2,3.0,4.0,Sci-Fi,Thriller
Interstellar,False,18118,36.6,63.4,37,7.7,129,81,223.7,0.209,0.446,fall-rise,0.14,0.272,4,0.48,10.8,14.6,4.6,2.9,4.4,Sci-Fi,
The Dark Knight Rises,False,14100,55.9,44.1,23,11.5,285,74,190.0,0.05,0.38,fall-rise,0.18,0.25,2,0.52,11.8,6.8,2.6,1.0,8.5,Action,Thriller
Seabiscuit,False,16178,68.7,31.3,28,10.4,176,74,218.6,0.151,0.171,steady,0.08,0.234,6,0.602,12.02,14.96,3.2,3.3,3.3,Drama,
Apollo 13,True,15585,57.8,42.2,39,7.4,107,66,236.1,0.245,0.197,rise,0.229,0.211,6,0.584,11.84,10.63,4.2,6.7,8.9,Drama,
The Revenant,True,17289,64.2,35.8,42,8.6,143,82,210.9,0.11,0.161,steady,0.124,0.301,4,0.625,12.25,9.69,4.0,7.4,7.5,Drama,
Oppenheimer,True,18403,72.3,27.7,37,8.3,124,72,255.6,0.178,0.293,rise,0.08,0.075,3,0.518,11.18,6.56,3.9,6.2,3.9,Drama,
Killers of the Flower Moon,False,16204,51.1,48.9,38,9.4,113,76,213.2,0.28,0.348,steady,0.131,0.227,3,0.557,11.57,11.39,6.7,4.7,5.3,Drama,
The Wolf of Wall Street,False,17889,63.9,36.1,45,12.3,153,69,259.3,0.012,0.296,steady,0.142,0.09,4,0.617,12.17,13.63,5.6,5.6,7.5,Crime,
Once Upon a Time in Hollywood,True,18790,67.7,32.3,26,8.4,141,69,272.3,0.148,0.239,steady,0.08,0.164,2,0.44,10.4,5.71,3.1,2.1,2.8,Drama,
Pulp Fiction,False,16100,60.4,39.6,43,10.2,225,68,237.0,0.15,0.4,steady,0.28,0.23,6,0.44,9.8,5.2,3.6,3.0,6.5,Crime,Drama
Inglourious Basterds,True,16372,33.0,67.0,22,9.3,111,71,230.6,0.065,0.305,steady,0.192,0.304,3,0.277,8.77,7.82,8.8,2.1,8.8,War,
The Hateful Eight,True,17436,57.1,42.9,40,11.0,218,66,264.2,0.207,0.276,steady,0.08,0.24,6,0.411,10.11,11.87,4.0,8.9,3.2,Crime,
