rank,title,year,worldwide_gross,domestic_gross,budget,genre,franchise,director,studio,is_sequel,is_animated
286,47 Ronin,2013,151783839,,175000000,Drama,,,Mid Atlantic Films,False,False
287,Dark Phoenix,2019,252442974,,200000000,Science Fiction,,,Genre Films,False,False
288,Terminator: Dark Fate,2019,261119292,,185000000,Science Fiction,,,20th Century Fox,False,False
289,Solo: A Star Wars Story,2018,392952373,,250000000,Science Fiction,,,Lucasfilm Ltd.,False,False
290,Babylon,2022,65267446,,78000000,Drama,,,Paramount Pictures,False,False
291,Amsterdam,2022,31245810,,80000000,Mystery,,,DreamCrew,False,False
292,Strange World,2022,73621640,,180000000,Animation,,,Walt Disney Animation Studios,False,True
293,The Marvels,2023,206136825,,274800000,Science Fiction,,,Marvel Studios,False,False
294,Mortal Engines,2018,83869818,,100000000,Adventure,,,Scholastic Productions,False,False
295,Robin Hood,2018,86493046,,100000000,Adventure,,,Appian Way,False,False
296,The Nutcracker and the Four Realms,2018,173961069,,120000000,Family,,,Walt Disney Pictures,False,False
297,Cleopatra,1963,57779280,,44000000,Drama,,,MCL Films S.A.,False,False
298,The Blair Witch Project,1999,248639099,,60000,Horror,,,Haxan Films,False,False
299,Paranormal Activity,2007,193355800,,15000,Horror,,,Blumhouse Productions,False,False
300,Once,2007,20710513,,160000,Drama,,,Samson Films,False,False
301,Little Miss Sunshine,2006,100523351,,8000000,Comedy,,,Big Beach,False,False
302,Juno,2007,232372681,,7500000,Comedy,,,Mandate Pictures,False,False
303,Get Out,2017,255407969,,4500000,Mystery,,,Monkeypaw Productions,False,False
304,Hereditary,2018,87796204,,10000000,Horror,,,PalmStar Media,False,False
305,The Witch,2015,40423945,,4000000,Horror,,,Very Special Projects,False,False
306,It Follows,2014,23374076,,2300000,Horror,,,Two Flints,False,False
307,Whiplash,2014,50307484,,3300000,Drama,,,Bold Films,False,False
308,Ex Machina,2014,36869414,,15000000,Drama,,,DNA Films,False,False
309,Lady Bird,2017,79000000,,10000000,Drama,,,IAC Films,False,False
310,Moonlight,2016,65046687,,4000000,Drama,,,A24,False,False
311,The Florida Project,2017,11303040,,2000000,Drama,,,Cre Film,False,False
312,Tangerine,2015,925000,,100000,Comedy,,,Through Films,False,False
313,Eighth Grade,2018,13539709,,2000000,Comedy,,,A24,False,False
314,Saw,2004,104045735,,1200000,Horror,,,Twisted Pictures,False,False
315,Open Water,2003,54683487,,120000,Horror,,,Plunge Pictures LLC,False,False
316,Chronicle,2012,145000000,,15000000,Science Fiction,,,Dune Entertainment,False,False
317,District 9,2009,210888950,,30000000,Science Fiction,,,TriStar Pictures,False,False
318,Looper,2012,47042000,,30000000,Action,,,Endgame Entertainment,False,False
319,Brick,2005,3900000,,475000,Drama,,,Bergman Lustig Productions,False,False
320,The Babadook,2014,10300000,,2000000,Drama,,,Screen Australia,False,False
321,A Ghost Story,2017,1929659,,100000,Drama,,,Sailor Bear,False,False
322,Frances Ha,2012,8986144,,0,Comedy,,,Scott Rudin Productions,False,False
323,500 Days of Summer,2009,60781545,,7500000,Comedy,,,Fox Searchlight Pictures,False,False
324,Lost in Translation,2003,119723856,,4000000,Drama,,,American Zoetrope,False,False
325,Garden State,2004,26781723,,2500000,Comedy,,,Camelot Pictures,False,False
326,Booksmart,2019,24849029,,6000000,Comedy,,,Annapurna Pictures,False,False
327,Uncut Gems,2019,50023780,,19000000,Drama,,,A24,False,False
328,Good Time,2017,3283369,,2000000,Crime,,,Elara Pictures,False,False
329,The Lobster,2015,15700000,,4000000,Comedy,,,Scarlet Films,False,False
330,Amelie,2001,173921954,,10000000,Comedy,,,Victoires Productions,False,False
331,Oldboy,2003,17500000,,3000000,Thriller,,,Show East,False,False
332,Pan's Labyrinth,2006,83258226,,19000000,Fantasy,,,Estudios Picasso,False,False
333,City of God,2002,30641770,,3300000,Drama,,,O2 Filmes,False,False
334,Akira,1988,49000000,,5700000,Animation,,,MBS,False,True
335,Princess Mononoke,1997,176506186,,23500000,Adventure,,,Studio Ghibli,False,True
336,Drive,2011,79713640,,15000000,Drama,,,FilmDistrict,False,False
337,Burning,2018,6591038,,7280000,Mystery,,,Pinehouse Film,False,False
338,A Separation,2011,24426169,,5000000,Drama,,,Asghar Farhadi Productions,False,False
339,Enter the Void,2009,754249,,13000000,Fantasy,,,Fidélité Films,False,False
340,Spring Breakers,2012,32016127,,5000000,Drama,,,Iconoclast,False,False
341,Nightcrawler,2014,47425835,,8500000,Crime,,,Sierra/Affinity,False,False
342,Birdman,2014,103215094,,18000000,Drama,,,TSG Entertainment,False,False
343,Her,2013,47351251,,23000000,Romance,,,Annapurna Pictures,False,False
344,The Grand Budapest Hotel,2014,174600318,,30000000,Comedy,,,Fox Searchlight Pictures,False,False
345,Eternal Sunshine of the Spotless Mind,2004,72258126,,20000000,Science Fiction,,,Focus Features,False,False
346,There Will Be Blood,2007,77208711,,25000000,Drama,,,Paramount Vantage,False,False
347,No Country for Old Men,2007,171627166,,25000000,Crime,,,Miramax,False,False
348,Donnie Brasco,1997,124909762,,35000000,Crime,,,Mark Johnson Productions,False,False
349,Gattaca,1997,12532777,,36000000,Science Fiction,,,Jersey Films,False,False
350,Event Horizon,1997,26700000,,60000000,Horror,,,Impact Pictures,False,False
351,Dark City,1998,27200000,,27000000,Mystery,,,New Line Cinema,False,False
352,The Fountain,2006,15304890,,35000000,Drama,,,Regency Enterprises,False,False
353,Sunshine,2007,34800000,,50000000,Science Fiction,,,Ingenious Media,False,False
354,Grindhouse,2007,25422088,,60000000,Thriller,,,Yer Dead,False,False
355,MacGruber,2010,9322895,,10000000,Action,,,Universal Studios,False,False
356,Kung Fury,2015,0,,630019,Action,,,Laser Unicorns,False,False
